customer_id,tenure_days,total_orders,total_spent,days_since_last_order,churn_risk_score,fraud_flag,fraud_score
861eff4711a542e4b93843c6dd7febb0,46,3,970.4,0,0.092,False,0.0
290c77bc529b7ac935b93aa66c333dc3,20,0,0,20,1.009,False,0.0
060e732b5b29e8181a18229c7b0b2b5e,26,1,88.8,21,0.639,False,0.0
259dac757896d24d7702b9acbbff3f3c,24,2,1712.73,10,0.38,False,0.0
345ecd01c38d18a9036ed96c73b8d066,60,3,575.03,1,0.063,False,0.0
4c93744516667ad3b8f1fb645a3116a4,51,15,7345.76,7,0.095,True,0.762
addec96d2e059c80c30fe6871d30d177,127,3,1701.24,14,0.18,False,0.0
57b2a98a409812fe9618067b6b8ebe4f,21,6,3920.73,1,0.105,False,0.0
1175e95fb47ddff9de6b2b06188f7e0d,31,3,1043.61,17,0.412,False,0.0
9afe194fb833f79e300e37e580171f22,20,0,0,20,0.973,False,0.0
2a7745e1ed516b289ed9b29c7d0539a5,24,0,0,24,0.97,False,0.0
2a46fb94aef5cbeeb850418118cee090,35,2,794.33,13,0.312,False,0.0
918dc87cd72cd9f6ed4bd442ed785235,20,4,2538.75,8,0.282,False,0.0
295c05e81917928d76245e842748184d,24,2,640.95,2,0.197,False,0.0
3151a81801c8386361b62277d7fa5ecf,47,0,0,47,0.988,False,0.0
21f748a16f4e1688a9014eb3ee6fa325,38,1,52.14,30,0.684,False,0.0
5c2991dbd08bbf3cf410713c4de5a0b5,24,2,2412.35,9,0.382,False,0.0
b6e99561fe6f34a55b0b7da92f8ed775,41,14,4836.93,3,0.073,True,0.942
7f3a72e8f988c6e735ba118d54f47458,79,1,1064.52,12,0.32,False,0.0
3e6fd6b2f0d499456a6a6820a40f2d79,20,9,4408.02,0,0.031,False,0.0
e607ede0e63436308660236f5a52da5e,78,4,3084.24,1,0.072,True,0.67
a96d5cfa0d3181817e2b946f921ea021,54,6,1505.67,21,0.247,False,0.0
482441ea6a06b1f72fe9784756c0ea75,28,1,1988.2,12,0.433,False,0.0
4390ddbb6276a66ff1736a6710205dca,23,0,0,23,1.04,False,0.0
a5844ba4bfc8d0cc61d13027c7e63bcc,276,1,11.66,36,0.321,False,0.0
5f102dd37243f152aec3607970aad100,28,0,0,28,0.991,False,0.0
9c0096673baf55453a50073f12d1a37f,21,2,405.25,8,0.355,False,0.0
2e6a42a9b5cbb0da62988694f18ee295,21,2,619.66,8,0.369,False,0.0
4d221875624017bc47b4d1ce7314a5b7,95,0,0,95,1.021,False,0.0
a8654e2af5da6bb72f52c22b164855e1,43,2,731.96,40,0.699,False,0.0
424aca6872c5bab80780a8dec03b7516,78,2,994.27,42,0.441,False,0.0
bf4862777db128507e9efcc789215e9b,59,1,967.83,12,0.344,False,0.0
e9dd12dca17352644a959d9dea133935,37,1,462.29,27,0.606,False,0.0
